iter	Passed	Remaining
919	42591	420357
920	42610	420048
921	42666	420089
922	42783	420744
923	42819	420599
924	42829	420190
925	42910	420485
926	43016	421020
927	43052	420878
928	43062	420470
929	43182	421140
930	43210	420920
931	43228	420597
932	43246	420270
933	43255	419863
934	43312	419920
935	43425	420519
936	43434	420114
937	43446	419734
938	43571	420453
939	43615	420378
940	43653	420247
941	43821	421373
942	43850	421156
943	43870	420864
944	43918	420830
945	43944	420588
946	44008	420708
947	44037	420497
948	44088	420487
949	44133	420427
950	44154	420136
951	44208	420168
952	44379	421305
953	44416	421167
954	44459	421083
955	44472	420723
956	44608	421522
957	44618	421127
958	44628	420734
959	44637	420339
960	44647	419944
961	44674	419720
962	44794	420365
963	44804	419975
964	44843	419858
965	44852	419463
966	44862	419068
967	44919	419122
968	44928	418729
969	45016	419071
970	45125	419603
971	45158	419432
972	45263	419932
973	45284	419646
974	45322	419524
975	45333	419152
976	45375	419057
977	45493	419674
978	45505	419308
979	45540	419160
980	45669	419867
981	45681	419508
982	45694	419154
983	45707	418801
984	45751	418730
985	45764	418378
986	45777	418031
987	45794	417708
988	45806	417356
989	45930	418012
990	45942	417652
991	45954	417299
992	45967	416951
993	45981	416606
994	46043	416705
995	46056	416357
996	46069	416011
997	46082	415665
998	46095	415317
999	46107	414971
1000	46121	414632
1001	46134	414290
1002	46158	414044
1003	46171	413701
1004	46184	413359
1005	46310	414034
1006	46430	414646
1007	46442	414300
1008	46456	413960
1009	46569	414513
1010	46590	414249
1011	46611	413980
1012	46719	414480
1013	46736	414178
1014	46745	413804
1015	46766	413536
1016	46788	413276
1017	46804	412965
1018	46838	412816
1019	46848	412448
1020	46869	412184
1021	46884	411867
1022	46899	411546
1023	46908	411185
1024	46919	410833
1025	46935	410526
1026	46945	410165
1027	46963	409878
1028	47021	409944
1029	47044	409697
1030	47053	409337
1031	47063	408977
1032	47078	408664
1033	47170	409022
1034	47185	408708
1035	47199	408395
1036	47214	408081
1037	47234	407818
1038	47252	407538
1039	47275	407294
1040	47290	406988
1041	47300	406635
1042	47315	406328
1043	47330	406024
1044	47339	405670
1045	47450	406185
1046	47491	406104
1047	47515	405873
1048	47540	405654
1049	47565	405442
1050	47583	405162
1051	47595	404833
1052	47709	405373
1053	47727	405098
1054	47771	405039
1055	47790	404769
1056	47831	404691
1057	47875	404634
1058	47893	404361
1059	47920	404159
1060	48043	404767
1061	48061	404496
1062	48111	404485
1063	48220	404979
1064	48246	404769
1065	48269	404539
1066	48287	404266
1067	48311	404041
1068	48329	403767
1069	48347	403495
1070	48365	403222
1071	48386	402982
1072	48401	402683
1073	48423	402448
1074	48541	403004
1075	48634	403360
1076	48658	403134
1077	48672	402837
1078	48687	402542
1079	48699	402225
1080	48718	401963
1081	48737	401697
1082	48764	401509
1083	48793	401334
1084	48811	401065
1085	48826	400773
1086	48847	400531
1087	48865	400263
1088	48899	400132
1089	48922	399910
1090	48937	399617
1091	48952	399332
1092	48967	399044
1093	48986	398788
1094	49001	398503
1095	49011	398171
1096	49026	397885
1097	49041	397599
1098	49174	398276
1099	49195	398033
1100	49212	397765
1101	49225	397469
1102	49241	397192
1103	49258	396922
1104	49369	397412
1105	49389	397171
1106	49417	396992
1107	49426	396662
1108	49443	396395
1109	49455	396089
1110	49476	395856
1111	49498	395628
1112	49545	395609
1113	49579	395476
1114	49612	395344
1115	49658	395311
1116	49700	395243
1117	49739	395161
1118	49770	395008
1119	49802	394865
1120	49828	394675
1121	49860	394527
1122	49891	394381
1123	49917	394190
1124	49962	394152
1125	49994	394003
1126	50038	393957
1127	50074	393850
1128	50130	393891
1129	50161	393747
1130	50205	393696
1131	50247	393637
1132	50300	393660
1133	50331	393510
1134	50503	394463
1135	50546	394406
1136	50578	394259
1137	50609	394112
1138	50658	394108
1139	50685	393922
1140	50711	393737
1141	50754	393678
1142	50785	393532
1143	50811	393344
1144	50843	393204
1145	50879	393097
1146	50912	392962
1147	51085	393907
1148	51098	393624
1149	51115	393363
1150	51132	393108
1151	51184	393124
1152	51198	392851
1153	51213	392581
1154	51225	392286
1155	51237	391993
1156	51258	391768
1157	51272	391497
1158	51284	391203
1159	51354	391360
1160	51374	391131
1161	51391	390875
1162	51404	390598
1163	51418	390324
1164	51432	390049
1165	51474	389984
1166	51603	390583
1167	51621	390342
1168	51633	390055
1169	51645	389769
1170	51657	389480
1171	51738	389714
1172	51750	389428
1173	51760	389125
1174	51770	388830
1175	51783	388550
1176	51795	388270
1177	51821	388090
1178	51833	387808
1179	51845	387523
1180	51966	388051
1181	51981	387792
1182	52009	387634
1183	52022	387355
1184	52034	387074
1185	52046	386794
1186	52064	386556
1187	52076	386275
1188	52090	386014
1189	52103	385738
1190	52124	385528
1191	52136	385250
1192	52148	384971
1193	52160	384692
1194	52172	384415
1195	52184	384137
1196	52195	383860
1197	52217	383656
1198	52229	383379
1199	52351	383908
1200	52477	384468
1201	52489	384196
1202	52516	384032
1203	52538	383830
1204	52556	383595
1205	52567	383317
1206	52583	383070
1207	52601	382840
1208	52701	383206
1209	52714	382939
1210	52726	382669
1211	52755	382521
1212	52769	382263
1213	52785	382020
1214	52797	381751
1215	52912	382219
1216	52929	381990
1217	52944	381739
1218	52981	381648
1219	53094	382104
1220	53212	382595
1221	53320	383015
1222	53332	382747
1223	53344	382473
1224	53365	382268
1225	53385	382061
1226	53407	381861
1227	53421	381609
1228	53442	381403
1229	53454	381133
1230	53476	380936
1231	53622	381623
1232	53649	381463
1233	53694	381434
1234	53723	381285
1235	53780	381335
1236	53826	381313
1237	53874	381296
1238	53977	381677
1239	54021	381634
1240	54071	381635
1241	54102	381504
1242	54147	381468
1243	54172	381300
1244	54199	381135
1245	54242	381087
1246	54268	380923
1247	54310	380872
1248	54354	380828
1249	54399	380797
1250	54425	380633
1251	54452	380468
1252	54478	380304
1253	54515	380218
1254	54560	380184
1255	54591	380054
1256	54617	379887
1257	54654	379799
1258	54698	379763
1259	54741	379715
1260	54767	379552
1261	54810	379502
1262	54836	379337
1263	54879	379296
1264	54923	379257
1265	54973	379258
1266	55002	379116
1267	55032	378979
1268	55050	378759
1269	55083	378645
1270	55105	378453
1271	55141	378363
